title,cat,valeur
Bubble Pop Electric,moment,0
Bubble Pop Electric,mood,0
Bubble Pop Electric,period,0
Bubble Pop Electric,person,0
Bubble Pop Electric,top,0
C -AMBIANCE TECHNO ALLEMANDE,artist,0
C -AMBIANCE TECHNO ALLEMANDE,context,0
C -AMBIANCE TECHNO ALLEMANDE,event,0
C -AMBIANCE TECHNO ALLEMANDE,genre,1
C -AMBIANCE TECHNO ALLEMANDE,moment,0
C -AMBIANCE TECHNO ALLEMANDE,mood,0
C -AMBIANCE TECHNO ALLEMANDE,period,0
C -AMBIANCE TECHNO ALLEMANDE,person,0
C -AMBIANCE TECHNO ALLEMANDE,top,0
COLORS,artist,0
COLORS,context,0
COLORS,event,0
COLORS,moment,0
COLORS,mood,0
COLORS,period,0
COLORS,person,0
COLORS,top,0
CRéOLE,artist,0
CRéOLE,context,0
CRéOLE,event,0
CRéOLE,genre,1
CRéOLE,moment,0
CRéOLE,mood,0
CRéOLE,period,0
CRéOLE,person,0
CRéOLE,top,0
CSE Blind Test,artist,0
CSE Blind Test,genre,0
CSE Blind Test,moment,0
CSE Blind Test,mood,0
CSE Blind Test,period,0
CSE Blind Test,person,0
CSE Blind Test,top,0
CTE 2,artist,0
CTE 2,context,0
CTE 2,event,0
CTE 2,genre,0
CTE 2,moment,0
CTE 2,mood,0
CTE 2,period,0
CTE 2,person,0
CTE 2,top,0
Calme posé,artist,0
Calme posé,event,0
Calme posé,genre,0
Calme posé,moment,0
Calme posé,mood,1
Calme posé,period,0
Calme posé,person,0
Calme posé,top,0
Calme/Relaxation/Bebe,artist,0
Calme/Relaxation/Bebe,event,0
Calme/Relaxation/Bebe,genre,0
Calme/Relaxation/Bebe,moment,0
Calme/Relaxation/Bebe,mood,1
Calme/Relaxation/Bebe,period,0
Calme/Relaxation/Bebe,top,0
Calming Music for Anxiety / Stress / HSP (Instrume,artist,0
Calming Music for Anxiety / Stress / HSP (Instrume,context,0
Calming Music for Anxiety / Stress / HSP (Instrume,event,0
Calming Music for Anxiety / Stress / HSP (Instrume,moment,0
Calming Music for Anxiety / Stress / HSP (Instrume,mood,1
Calming Music for Anxiety / Stress / HSP (Instrume,period,0
Calming Music for Anxiety / Stress / HSP (Instrume,person,0
Calming Music for Anxiety / Stress / HSP (Instrume,top,0
Cantates Bach,artist,1
Cantates Bach,context,0
Cantates Bach,event,0
Cantates Bach,genre,0
Cantates Bach,moment,0
Cantates Bach,mood,0
Cantates Bach,period,0
Cantates Bach,person,0
Cantates Bach,top,0
Carannie,artist,0
Carannie,context,0
Carannie,event,0
Carannie,genre,0
Carannie,moment,0
Carannie,mood,0
Carannie,period,0
Carannie,top,0
Carlos Santana,artist,1
Carlos Santana,context,0
Carlos Santana,event,0
Carlos Santana,genre,0
Carlos Santana,moment,0
Carlos Santana,mood,0
Carlos Santana,period,0
Carlos Santana,person,0
Carlos Santana,top,0
Carson Elliott,artist,1
Carson Elliott,context,0
Carson Elliott,event,0
Carson Elliott,genre,0
Carson Elliott,moment,0
Carson Elliott,mood,0
Carson Elliott,period,0
Carson Elliott,person,0
Carson Elliott,top,0
Celtic trad.,artist,0
Celtic trad.,context,0
Celtic trad.,event,0
Celtic trad.,genre,1
Celtic trad.,moment,0
Celtic trad.,mood,0
Celtic trad.,period,0
Celtic trad.,person,0
Celtic trad.,top,0
Ceux qui brûlent,artist,0
Ceux qui brûlent,context,0
Ceux qui brûlent,event,0
Ceux qui brûlent,genre,0
Ceux qui brûlent,moment,0
Ceux qui brûlent,mood,0
Ceux qui brûlent,period,0
Ceux qui brûlent,person,0
Ceux qui brûlent,top,0
Chabrier  - Habanera,artist,1
Chabrier  - Habanera,context,0
Chabrier  - Habanera,event,0
Chabrier  - Habanera,genre,0
Chabrier  - Habanera,moment,0
Chabrier  - Habanera,mood,0
Chabrier  - Habanera,period,0
Chabrier  - Habanera,person,0
Chabrier  - Habanera,top,0
Chansons cérémonie,artist,0
Chansons cérémonie,moment,0
Chansons cérémonie,mood,0
Chansons cérémonie,period,0
Chansons cérémonie,person,0
Chansons cérémonie,top,0
Chansons d'amour,artist,0
Chansons d'amour,context,0
Chansons d'amour,event,0
Chansons d'amour,moment,0
Chansons d'amour,period,0
Chansons d'amour,person,0
Chansons d'amour,top,0
CharlElie Couture,event,0
CharlElie Couture,genre,0
CharlElie Couture,moment,0
CharlElie Couture,mood,0
CharlElie Couture,period,0
CharlElie Couture,top,0
Chelsea Wolfe ep,context,0
Chelsea Wolfe ep,event,0
Chelsea Wolfe ep,genre,0
Chelsea Wolfe ep,moment,0
Chelsea Wolfe ep,mood,0
Chelsea Wolfe ep,period,0
Chelsea Wolfe ep,person,0
Chelsea Wolfe ep,top,0
Chill at Crème brûlée,artist,0
Chill at Crème brûlée,context,0
Chill at Crème brûlée,event,0
Chill at Crème brûlée,genre,0
Chill at Crème brûlée,moment,0
Chill at Crème brûlée,mood,1
Chill at Crème brûlée,period,0
Chill at Crème brûlée,person,0
Chill at Crème brûlée,top,0
Château gonflable,artist,0
Château gonflable,context,1
Château gonflable,event,0
Château gonflable,genre,0
Château gonflable,moment,0
Château gonflable,mood,0
Château gonflable,period,0
Château gonflable,person,0
Château gonflable,top,0
Chœur NDG,artist,0
Chœur NDG,event,0
Chœur NDG,moment,0
Chœur NDG,mood,0
Chœur NDG,period,0
Chœur NDG,person,0
Chœur NDG,top,0
Classic 2,artist,0
Classic 2,context,0
Classic 2,event,0
Classic 2,genre,1
Classic 2,moment,0
Classic 2,mood,0
Classic 2,person,0
Classic 2,top,0
Classic Shit Vol.5,artist,0
Classic Shit Vol.5,context,0
Classic Shit Vol.5,event,0
Classic Shit Vol.5,moment,0
Classic Shit Vol.5,mood,0
Classic Shit Vol.5,person,0
Classic de films,artist,0
Classic de films,context,0
Classic de films,event,0
Classic de films,genre,1
Classic de films,moment,0
Classic de films,mood,0
Classic de films,period,0
Classic de films,person,0
Classical Music For Metalheads,artist,0
Classical Music For Metalheads,context,0
Classical Music For Metalheads,event,0
Classical Music For Metalheads,genre,1
Classical Music For Metalheads,moment,0
Classical Music For Metalheads,mood,0
Classical Music For Metalheads,period,0
Classical Music For Metalheads,person,0
Classical Music For Metalheads,top,0
"Classique, émouvant",artist,0
"Classique, émouvant",context,0
"Classique, émouvant",event,0
"Classique, émouvant",genre,1
"Classique, émouvant",moment,0
"Classique, émouvant",mood,1
"Classique, émouvant",period,0
"Classique, émouvant",person,0
"Classique, émouvant",top,0
Claude mix,artist,0
Claude mix,context,0
Claude mix,event,0
Claude mix,genre,0
Claude mix,moment,0
Claude mix,mood,0
Claude mix,period,0
Claude mix,person,1
Claude mix,top,0
Clementine Comptine,artist,0
Clementine Comptine,event,0
Clementine Comptine,genre,1
Clementine Comptine,moment,0
Clementine Comptine,mood,0
Clementine Comptine,period,0
Clementine Comptine,person,1
Clementine Comptine,top,0
Club med,artist,0
Club med,genre,0
Club med,moment,0
Club med,mood,0
Club med,period,0
Club med,person,0
Club med,top,0
Cmusique allemande de Schutz à Bach,context,0
Cmusique allemande de Schutz à Bach,event,0
Cmusique allemande de Schutz à Bach,genre,1
Cmusique allemande de Schutz à Bach,moment,0
Cmusique allemande de Schutz à Bach,mood,0
Cmusique allemande de Schutz à Bach,period,0
Cmusique allemande de Schutz à Bach,person,0
Cmusique allemande de Schutz à Bach,top,0
Compile 2012 - 2104,artist,0
Compile 2012 - 2104,context,0
Compile 2012 - 2104,event,0
Compile 2012 - 2104,genre,0
Compile 2012 - 2104,moment,1
Compile 2012 - 2104,mood,0
Compile 2012 - 2104,period,0
Compile 2012 - 2104,person,0
Concert TDH Glasgow,context,0
Concert TDH Glasgow,genre,0
Concert TDH Glasgow,moment,0
Concert TDH Glasgow,mood,0
Concert TDH Glasgow,period,0
Concert TDH Glasgow,person,0
Concert TDH Glasgow,top,0
Concorde,context,0
Concorde,event,0
Concorde,genre,0
Concorde,moment,0
Concorde,mood,0
Concorde,period,0
Concorde,person,0
Concorde,top,0
Confined & refined,artist,0
Confined & refined,context,0
Confined & refined,event,0
Confined & refined,genre,0
Confined & refined,period,0
Confined & refined,person,0
Cool 2015,artist,0
Cool 2015,context,0
Cool 2015,event,0
Cool 2015,genre,0
Cool 2015,moment,1
Cool 2015,period,0
Cool 2015,person,0
Cool 2015,top,0
Cool Mat 4,artist,0
Cool Mat 4,event,0
Cool Mat 4,genre,0
Cool Mat 4,moment,0
Cool Mat 4,period,0
Cool Mat 4,top,0
Coup de coeur Vol.2,artist,0
Coup de coeur Vol.2,context,0
Coup de coeur Vol.2,event,0
Coup de coeur Vol.2,genre,0
Coup de coeur Vol.2,moment,0
Coup de coeur Vol.2,mood,0
Coup de coeur Vol.2,period,0
Coup de coeur Vol.2,person,0
Coup de coeur Vol.2,top,1
Coup de cœur du week end,artist,0
Coup de cœur du week end,context,0
Coup de cœur du week end,event,0
Coup de cœur du week end,genre,0
Coup de cœur du week end,mood,0
Coup de cœur du week end,period,0
Coup de cœur du week end,person,0
Coup de cœur du week end,top,1
Coupette part.4,artist,0
Coupette part.4,context,0
Coupette part.4,event,0
Coupette part.4,genre,0
Coupette part.4,moment,0
Coupette part.4,mood,0
Coupette part.4,period,0
Coupette part.4,person,0
Coupette part.4,top,0
Couzinade🤪,artist,0
Couzinade🤪,context,0
Couzinade🤪,event,1
Couzinade🤪,genre,0
Couzinade🤪,moment,0
Couzinade🤪,mood,0
Couzinade🤪,period,0
Couzinade🤪,top,0
Croods Schreiber,context,0
Croods Schreiber,event,0
Croods Schreiber,genre,0
Croods Schreiber,moment,0
Croods Schreiber,mood,0
Croods Schreiber,period,0
Croods Schreiber,person,0
Croods Schreiber,top,0
Cross 2,artist,0
Cross 2,event,0
Cross 2,genre,0
Cross 2,moment,0
Cross 2,mood,0
Cross 2,period,0
Cross 2,person,0
Cross 2,top,0
Crématorium Papa Françoise,artist,0
Crématorium Papa Françoise,context,0
Crématorium Papa Françoise,event,1
Crématorium Papa Françoise,genre,0
Crématorium Papa Françoise,moment,0
Crématorium Papa Françoise,mood,0
Crématorium Papa Françoise,period,0
Crématorium Papa Françoise,top,0
Crêpes,artist,0
Crêpes,genre,0
Crêpes,moment,0
Crêpes,mood,0
Crêpes,period,0
Crêpes,person,0
Crêpes,top,0
Céleste,context,0
Céleste,event,0
Céleste,genre,0
Céleste,moment,0
Céleste,mood,0
Céleste,period,0
Céleste,top,0
Célya à la sieste 😴,artist,0
Célya à la sieste 😴,context,1
Célya à la sieste 😴,event,0
Célya à la sieste 😴,genre,0
Célya à la sieste 😴,moment,0
Célya à la sieste 😴,mood,0
Célya à la sieste 😴,period,0
Célya à la sieste 😴,person,1
Célya à la sieste 😴,top,0
D cheu nous,artist,0
D cheu nous,context,0
D cheu nous,event,0
D cheu nous,genre,1
D cheu nous,moment,0
D cheu nous,mood,0
D cheu nous,period,0
D cheu nous,person,0
D cheu nous,top,0
D pop,artist,0
D pop,context,0
D pop,event,0
D pop,genre,1
D pop,moment,0
D pop,mood,0
D pop,period,0
D pop,person,0
D pop,top,0
DEEZER 2010,artist,0
DEEZER 2010,context,0
DEEZER 2010,event,0
DEEZER 2010,genre,0
DEEZER 2010,mood,0
DEEZER 2010,period,0
DEEZER 2010,person,0
DEEZER 2010,top,0
DJAX RE UP,context,0
DJAX RE UP,event,0
DJAX RE UP,genre,0
DJAX RE UP,moment,0
DJAX RE UP,mood,0
DJAX RE UP,period,0
DJAX RE UP,person,0
DJAX RE UP,top,0
"DO YOU CARE ?! nah, i don't care!😝",artist,0
"DO YOU CARE ?! nah, i don't care!😝",context,0
"DO YOU CARE ?! nah, i don't care!😝",event,0
"DO YOU CARE ?! nah, i don't care!😝",genre,0
"DO YOU CARE ?! nah, i don't care!😝",moment,0
"DO YOU CARE ?! nah, i don't care!😝",mood,1
"DO YOU CARE ?! nah, i don't care!😝",period,0
"DO YOU CARE ?! nah, i don't care!😝",person,0
"DO YOU CARE ?! nah, i don't care!😝",top,0
Da Franco Cou'D'Coeur,context,0
Da Franco Cou'D'Coeur,event,0
Da Franco Cou'D'Coeur,genre,0
Da Franco Cou'D'Coeur,moment,0
Da Franco Cou'D'Coeur,mood,0
Da Franco Cou'D'Coeur,period,0
Dam 34,artist,0
Dam 34,context,0
Dam 34,genre,0
Dam 34,moment,0
Dam 34,mood,0
Dam 34,period,0
Dam 34,top,0
"Dam Dam, on danse",artist,0
"Dam Dam, on danse",event,0
"Dam Dam, on danse",genre,0
"Dam Dam, on danse",moment,0
"Dam Dam, on danse",mood,0
"Dam Dam, on danse",period,0
"Dam Dam, on danse",person,0
"Dam Dam, on danse",top,0
Dance off,artist,0
Dance off,context,1
Dance off,event,0
Dance off,genre,0
Dance off,moment,0
Dance off,mood,0
Dance off,period,0
Dance off,person,0
Dance off,top,0
Danse perso,artist,0
Danse perso,event,0
Danse perso,genre,0
Danse perso,moment,0
Danse perso,mood,0
Danse perso,period,0
Danse perso,person,0
Danse perso,top,0
Delph ❤❤️‍🔥,artist,0
Delph ❤❤️‍🔥,context,0
Delph ❤❤️‍🔥,event,0
Delph ❤❤️‍🔥,genre,0
Delph ❤❤️‍🔥,moment,0
Delph ❤❤️‍🔥,mood,0
Delph ❤❤️‍🔥,period,0
Delph ❤❤️‍🔥,person,1
Delph ❤❤️‍🔥,top,0
Demons & Wizards,artist,1
Demons & Wizards,context,0
Demons & Wizards,event,0
Demons & Wizards,genre,0
Demons & Wizards,moment,0
Demons & Wizards,mood,0
Demons & Wizards,period,0
Demons & Wizards,person,0
Demons & Wizards,top,0
Destroy,context,0
Destroy,event,0
Destroy,genre,0
Destroy,moment,0
Destroy,period,0
Destroy,person,0
Destroy,top,0
Detente bain,artist,0
Detente bain,context,1
Detente bain,event,0
Detente bain,genre,0
Detente bain,moment,0
Detente bain,mood,1
Detente bain,period,0
Detente bain,person,0
Detente bain,top,0
Dinner with friends,artist,0
Dinner with friends,context,1
Dinner with friends,event,0
Dinner with friends,genre,0
Dinner with friends,moment,0
Dinner with friends,mood,0
Dinner with friends,period,0
Dinner with friends,person,0
Dinner with friends,top,0
Dinos ✨,context,0
Dinos ✨,event,0
Dinos ✨,genre,0
Dinos ✨,moment,0
Dinos ✨,mood,0
Dinos ✨,period,0
Dinos ✨,person,0
Dinos ✨,top,0
Discover Weekly (MOOVAL),artist,0
Discover Weekly (MOOVAL),context,0
Discover Weekly (MOOVAL),event,0
Discover Weekly (MOOVAL),genre,0
Discover Weekly (MOOVAL),moment,0
Discover Weekly (MOOVAL),mood,0
Discover Weekly (MOOVAL),period,0
Discover Weekly (MOOVAL),person,0
Discover Weekly (MOOVAL),top,0
DisneySongs,artist,0
DisneySongs,context,0
DisneySongs,event,0
DisneySongs,genre,1
DisneySongs,moment,0
DisneySongs,mood,0
DisneySongs,period,0
DisneySongs,person,0
DisneySongs,top,0
Douceur Vocale,artist,0
Douceur Vocale,context,0
Douceur Vocale,event,0
Douceur Vocale,moment,0
Douceur Vocale,period,0
Douceur Vocale,person,0
Douceur Vocale,top,0
Download <3,artist,0
Download <3,context,0
Download <3,event,0
Download <3,genre,0
Download <3,moment,0
Download <3,mood,0
Download <3,period,0
Download <3,person,0
Download <3,top,0
Driiiiive Summer été 2015,artist,0
Driiiiive Summer été 2015,context,1
Driiiiive Summer été 2015,event,0
Driiiiive Summer été 2015,genre,0
Driiiiive Summer été 2015,moment,1
Driiiiive Summer été 2015,mood,0
Driiiiive Summer été 2015,period,0
Driiiiive Summer été 2015,person,0
Driiiiive Summer été 2015,top,0
Duo Trio,artist,0
Duo Trio,context,0
Duo Trio,event,0
Duo Trio,moment,0
Duo Trio,mood,0
Duo Trio,period,0
Duo Trio,person,0
Duo Trio,top,0
DÉTENTE TRAVAIL 2019,artist,0
DÉTENTE TRAVAIL 2019,context,1
DÉTENTE TRAVAIL 2019,event,0
DÉTENTE TRAVAIL 2019,genre,0
DÉTENTE TRAVAIL 2019,moment,1
DÉTENTE TRAVAIL 2019,mood,1
DÉTENTE TRAVAIL 2019,period,0
DÉTENTE TRAVAIL 2019,person,0
DÉTENTE TRAVAIL 2019,top,0
Début de soirée...,artist,0
Début de soirée...,context,1
Début de soirée...,event,0
Début de soirée...,genre,0
Début de soirée...,moment,0
Début de soirée...,mood,0
Début de soirée...,period,0
Début de soirée...,person,0
Début de soirée...,top,0
décembre 2018,artist,0
décembre 2018,context,0
décembre 2018,event,0
décembre 2018,genre,0
décembre 2018,moment,1
décembre 2018,mood,0
décembre 2018,period,0
décembre 2018,person,0
décembre 2018,top,0
ECOS,context,0
ECOS,event,0
ECOS,genre,0
ECOS,moment,0
ECOS,mood,0
ECOS,period,0
ECOS,person,0
ECOS,top,0
ENREGIS,artist,0
ENREGIS,context,0
ENREGIS,event,0
ENREGIS,genre,0
ENREGIS,moment,0
ENREGIS,mood,0
ENREGIS,period,0
ENREGIS,person,0
ENREGIS,top,0
Ecriture 3,artist,0
Ecriture 3,context,1
Ecriture 3,event,0
Ecriture 3,genre,0
Ecriture 3,moment,0
Ecriture 3,mood,0
Ecriture 3,period,0
Ecriture 3,person,0
Ecriture 3,top,0
Electro / Chill / Son,artist,0
Electro / Chill / Son,context,0
Electro / Chill / Son,event,0
Electro / Chill / Son,genre,1
Electro / Chill / Son,moment,0
Electro / Chill / Son,period,0
Electro / Chill / Son,person,0
Electro / Chill / Son,top,0
Electro Mix4,artist,0
Electro Mix4,context,0
Electro Mix4,event,0
Electro Mix4,genre,1
Electro Mix4,moment,0
Electro Mix4,mood,0
Electro Mix4,period,0
Electro Mix4,person,0
Electro Mix4,top,0
Electro hit,artist,0
Electro hit,context,0
Electro hit,event,0
Electro hit,genre,1
Electro hit,moment,0
Electro hit,mood,0
Electro hit,period,0
Electro hit,person,0
Electro hit,top,0
Electro swing,artist,0
Electro swing,context,0
Electro swing,event,0
Electro swing,genre,1
Electro swing,moment,0
Electro swing,mood,0
Electro swing,period,0
Electro swing,person,0
Electro swing,top,0
Electrofun,artist,0
Electrofun,context,0
Electrofun,event,0
Electrofun,genre,1
Electrofun,moment,0
Electrofun,period,0
Electrofun,person,0
Electrofun,top,0
Electrolove,artist,0
Electrolove,context,0
Electrolove,event,0
Electrolove,genre,1
Electrolove,moment,0
Electrolove,period,0
Electrolove,person,0
Electrolove,top,0
Elsa ♡,artist,0
Elsa ♡,context,0
Elsa ♡,event,0
Elsa ♡,genre,0
Elsa ♡,moment,0
Elsa ♡,mood,0
Elsa ♡,period,0
Elsa ♡,person,1
Elsa ♡,top,0
En boucle seul,artist,0
En boucle seul,event,0
En boucle seul,genre,0
En boucle seul,moment,0
En boucle seul,period,0
En boucle seul,person,0
En mode menace Santana,artist,1
En mode menace Santana,context,0
En mode menace Santana,event,0
En mode menace Santana,genre,0
En mode menace Santana,moment,0
En mode menace Santana,period,0
En mode menace Santana,person,0
En mode menace Santana,top,0
Enfant,artist,0
Enfant,context,0
Enfant,event,0
Enfant,moment,0
Enfant,mood,0
Enfant,period,0
Enfant,top,0
Epic rap battle of history,artist,0
Epic rap battle of history,context,0
Epic rap battle of history,event,0
Epic rap battle of history,genre,1
Epic rap battle of history,moment,0
Epic rap battle of history,mood,0
Epic rap battle of history,person,0
Epic rap battle of history,top,0
Erasure - Best Of,artist,1
Erasure - Best Of,context,0
Erasure - Best Of,event,0
Erasure - Best Of,genre,0
Erasure - Best Of,moment,0
Erasure - Best Of,mood,0
Erasure - Best Of,period,0
Erasure - Best Of,person,0
Espagnol 🇨🇱🇪🇦,artist,0
Espagnol 🇨🇱🇪🇦,context,0
Espagnol 🇨🇱🇪🇦,event,0
Espagnol 🇨🇱🇪🇦,genre,1
Espagnol 🇨🇱🇪🇦,moment,0
Espagnol 🇨🇱🇪🇦,mood,0
Espagnol 🇨🇱🇪🇦,period,0
Espagnol 🇨🇱🇪🇦,person,0
Espagnol 🇨🇱🇪🇦,top,0
Eurythmique,context,0
Eurythmique,event,0
Eurythmique,genre,0
Eurythmique,moment,0
Eurythmique,period,0
Eurythmique,person,0
Eurythmique,top,0
Even terrible teenage me,artist,0
Even terrible teenage me,context,0
Even terrible teenage me,event,0
Even terrible teenage me,genre,0
Even terrible teenage me,moment,1
Even terrible teenage me,period,0
Even terrible teenage me,top,0
Everything I listen to,artist,0
Everything I listen to,context,0
Everything I listen to,event,0
Everything I listen to,genre,0
Everything I listen to,moment,0
Everything I listen to,mood,0
Everything I listen to,period,0
Everything I listen to,person,0
Extraterrestrial,context,0
Extraterrestrial,event,0
Extraterrestrial,genre,0
Extraterrestrial,moment,0
Extraterrestrial,period,0
Extraterrestrial,person,0
Extraterrestrial,top,0
F -DJ SET 12,artist,0
F -DJ SET 12,genre,0
F -DJ SET 12,moment,0
F -DJ SET 12,mood,0
F -DJ SET 12,period,0
F -DJ SET 12,person,0
F -DJ SET 12,top,0
F27,context,0
F27,event,0
F27,genre,0
F27,moment,0
F27,mood,0
F27,period,0
F27,person,0
F27,top,0
FILLES,artist,0
FILLES,context,0
FILLES,event,0
FILLES,genre,1
FILLES,moment,0
FILLES,mood,0
FILLES,period,0
FILLES,person,0
FILLES,top,0
FKJ Influences Oct 16,artist,1
FKJ Influences Oct 16,context,0
FKJ Influences Oct 16,event,0
FKJ Influences Oct 16,genre,0
FKJ Influences Oct 16,moment,1
FKJ Influences Oct 16,mood,0
FKJ Influences Oct 16,period,0
FKJ Influences Oct 16,person,0
FKJ Influences Oct 16,top,0
"FLOW - Woodkid, London Grammar",artist,1
"FLOW - Woodkid, London Grammar",context,0
"FLOW - Woodkid, London Grammar",event,0
"FLOW - Woodkid, London Grammar",genre,0
"FLOW - Woodkid, London Grammar",moment,0
"FLOW - Woodkid, London Grammar",mood,0
"FLOW - Woodkid, London Grammar",period,0
"FLOW - Woodkid, London Grammar",person,0
"FLOW - Woodkid, London Grammar",top,0
FRANCAIS,artist,0
FRANCAIS,context,0
FRANCAIS,event,0
FRANCAIS,genre,1
FRANCAIS,moment,0
FRANCAIS,mood,0
FRANCAIS,period,0
FRANCAIS,person,0
FRANCAIS,top,0
FUNK,artist,0
FUNK,context,0
FUNK,event,0
FUNK,genre,1
FUNK,moment,0
FUNK,mood,0
FUNK,period,0
FUNK,person,0
FUNK,top,0
FW2017,artist,0
FW2017,context,0
FW2017,event,0
FW2017,genre,0
FW2017,moment,1
FW2017,mood,0
FW2017,period,0
FW2017,person,0
FW2017,top,0
Far West,artist,0
Far West,context,0
Far West,event,0
Far West,moment,0
Far West,mood,0
Far West,period,0
Far West,person,0
Far West,top,0
Faut bien mélanger,artist,0
Faut bien mélanger,context,0
Faut bien mélanger,event,0
Faut bien mélanger,genre,0
Faut bien mélanger,moment,0
Faut bien mélanger,mood,0
Faut bien mélanger,period,0
Faut bien mélanger,person,0
Faut bien mélanger,top,0
Feloche,artist,1
Feloche,context,0
Feloche,event,0
Feloche,genre,0
Feloche,moment,0
Feloche,mood,0
Feloche,period,0
Feloche,person,0
Feloche,top,0
Femmouzes T,artist,1
Femmouzes T,context,0
Femmouzes T,event,0
Femmouzes T,genre,0
Femmouzes T,moment,0
Femmouzes T,mood,0
Femmouzes T,period,0
Femmouzes T,person,0
Femmouzes T,top,0
Fevrier❄️❄️❄️,artist,0
Fevrier❄️❄️❄️,context,0
Fevrier❄️❄️❄️,event,0
Fevrier❄️❄️❄️,genre,0
Fevrier❄️❄️❄️,mood,0
Fevrier❄️❄️❄️,period,0
Fevrier❄️❄️❄️,person,0
Fevrier❄️❄️❄️,top,0
Fifth Harmony,event,0
Fifth Harmony,genre,0
Fifth Harmony,moment,0
Fifth Harmony,mood,0
Fifth Harmony,period,0
Fifth Harmony,person,0
Fifth Harmony,top,0
Film East Side/Ouest Side-13-14-15-16-17-,context,0
Film East Side/Ouest Side-13-14-15-16-17-,event,0
Film East Side/Ouest Side-13-14-15-16-17-,moment,0
Film East Side/Ouest Side-13-14-15-16-17-,mood,0
Film East Side/Ouest Side-13-14-15-16-17-,period,0
Film East Side/Ouest Side-13-14-15-16-17-,person,0
Film East Side/Ouest Side-13-14-15-16-17-,top,0
Firestones,artist,0
Firestones,context,0
Firestones,event,0
Firestones,genre,0
Firestones,moment,0
Firestones,mood,0
Firestones,period,0
Firestones,person,0
Firestones,top,0
First part of the eighties,artist,0
First part of the eighties,context,0
First part of the eighties,event,0
First part of the eighties,genre,0
First part of the eighties,moment,0
First part of the eighties,mood,0
First part of the eighties,person,0
First part of the eighties,top,0
Fitness Motivation Hits 2022,artist,0
Fitness Motivation Hits 2022,context,1
Fitness Motivation Hits 2022,event,0
Fitness Motivation Hits 2022,genre,0
Fitness Motivation Hits 2022,moment,1
Fitness Motivation Hits 2022,period,0
Fitness Motivation Hits 2022,person,0
Fitness Motivation Hits 2022,top,0
Flashback,artist,0
Flashback,context,0
Flashback,event,0
Flashback,genre,0
Flashback,mood,0
Flashback,period,0
Flashback,person,0
Flashback,top,0
Flo zouk,artist,0
Flo zouk,context,0
Flo zouk,event,0
Flo zouk,genre,1
Flo zouk,moment,0
Flo zouk,mood,0
Flo zouk,period,0
Flo zouk,person,1
Flo zouk,top,0
Flora,artist,0
Flora,context,0
Flora,event,0
Flora,genre,0
Flora,moment,0
Flora,mood,0
Flora,period,0
Flora,person,1
Flora,top,0
Flow métal,artist,0
Flow métal,context,0
Flow métal,event,0
Flow métal,genre,1
Flow métal,moment,0
Flow métal,period,0
Flow métal,person,0
Flow métal,top,0
Foi,artist,0
Foi,context,0
Foi,event,0
Foi,moment,0
Foi,period,0
Foi,person,0
Foi,top,0
Frappe,artist,0
Frappe,context,0
Frappe,event,0
Frappe,genre,0
Frappe,moment,0
Frappe,period,0
Frappe,person,0
French Pop,artist,0
French Pop,context,0
French Pop,event,0
French Pop,genre,1
French Pop,moment,0
French Pop,mood,0
French Pop,period,0
French Pop,person,0
French Pop,top,0
Frenchcore,artist,0
Frenchcore,context,0
Frenchcore,event,0
Frenchcore,genre,1
Frenchcore,moment,0
Frenchcore,mood,0
Frenchcore,period,0
Frenchcore,person,0
Frenchcore,top,0
Freteville,artist,0
Freteville,genre,0
Freteville,moment,0
Freteville,mood,0
Freteville,period,0
Freteville,person,0
Freteville,top,0
Funfit 2022,artist,0
Funfit 2022,genre,0
Funfit 2022,period,0
Funfit 2022,person,0
Funfit 2022,top,0
Funk of today,artist,0
Funk of today,context,0
Funk of today,event,0
Funk of today,genre,1
Funk of today,moment,0
Funk of today,mood,0
Funk of today,person,0
Funk of today,top,0
Funky and groovy,artist,0
Funky and groovy,context,0
Funky and groovy,event,0
Funky and groovy,moment,0
Funky and groovy,period,0
Funky and groovy,person,0
Funky and groovy,top,0
Féministes,artist,0
Féministes,context,0
Féministes,event,0
Féministes,genre,1
Féministes,moment,0
Féministes,mood,0
Féministes,period,0
Féministes,person,0
Féministes,top,0
GDD POP,artist,0
GDD POP,context,0
GDD POP,event,0
GDD POP,moment,0
GDD POP,mood,0
GDD POP,period,0
GDD POP,person,0
GDD POP,top,0
GIRLS !,context,0
GIRLS !,event,0
GIRLS !,moment,0
GIRLS !,mood,0
GIRLS !,period,0
GIRLS !,person,0
GIRLS !,top,0
GROUNDATION Here i am,artist,1
GROUNDATION Here i am,context,0
GROUNDATION Here i am,event,0
GROUNDATION Here i am,genre,0
GROUNDATION Here i am,moment,0
GROUNDATION Here i am,mood,0
GROUNDATION Here i am,period,0
GROUNDATION Here i am,person,0
GROUNDATION Here i am,top,0
Gary Jules,artist,1
Gary Jules,context,0
Gary Jules,event,0
Gary Jules,genre,0
Gary Jules,moment,0
Gary Jules,mood,0
Gary Jules,period,0
Gary Jules,person,0
Gary Jules,top,0
Gentils Garçons,context,0
Gentils Garçons,event,0
Gentils Garçons,moment,0
Gentils Garçons,mood,0
Gentils Garçons,period,0
Gentils Garçons,person,0
Gentils Garçons,top,0
George100,artist,0
George100,context,0
George100,event,0
George100,genre,0
George100,moment,0
